City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Orem,UT,1.6,18.8,13.7,6.5,19.7,22.5,4756
Provo,UT,1.6,18.8,13.7,6.5,19.7,22.5,4549
Salt Lake City,UT,2.2,22.5,19.6,8.3,21,24.9,4266
Alexandria,VA,2.4,26.2,22.7,9.3,13.3,23.6,30
Charlottesville,VA,3.8,27.2,27,10.9,14.9,24.3,594
Lynchburg,VA,4.5,30.8,30.3,12.4,17.1,28.3,818
Newport News,VA,3.5,29.4,24.7,12.6,16,32,15
Norfolk,VA,3.5,29.4,24.7,12.6,16,32,10
Richmond,VA,3.1,32.2,24.7,11.8,17.9,27.8,190
Roanoke,VA,3.7,36.9,29.5,12.1,20.6,33.6,940
Virginia Beach,VA,3.5,29.4,24.7,12.6,16,32,15
Burlington,VT,6.5,26.1,19.2,9.1,19.8,25.5,113
South Burlington,VT,6.5,26.1,19.2,9.1,19.8,25.5,320
Bellevue,WA,2.6,24.4,20.7,8.7,19.6,22.9,100
Bellingham,WA,4.6,26.8,26.8,6.1,17.6,24.5,100
Bremerton,WA,4.6,30.2,29.9,12.7,22.3,31,100
Kennewick,WA,3.5,25.7,26.9,10.3,22,33.5,400
Olympia,WA,4.9,28.4,22.1,12,21.3,26.4,130
Richland,WA,3.5,25.7,26.9,10.3,22,33.5,359
Seattle,WA,2.6,24.4,20.7,8.7,19.6,22.9,350
Silverdale,WA,4.6,30.2,29.9,12.7,22.3,31,60
Spokane,WA,3.4,27.2,22.2,8.6,21.1,27.8,2000
Tacoma,WA,2.6,24.4,20.7,8.7,19.6,22.9,380
Vancouver,WA,3,23.2,19.4,9.4,20.9,24.9,150
Green Bay,WI,2.2,24.9,26.6,8,16.2,31,594
Madison,WI,2.9,23.2,22.3,9,19.7,28.1,863
Milwaukee,WI,3.3,30.6,24,10.1,16.2,27.3,634
Waukesha,WI,3.3,30.6,24,10.1,16.2,27.3,821
West Allis,WI,3.3,30.6,24,10.1,16.2,27.3,730
Huntington,WV,7.7,37.8,26.9,13.6,27.7,31.8,569
Charleston,WV,8.8,43.5,31.4,17.6,26.8,40.6,606
